show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s15,TV Show,Hidden Truths,Maria Gomez,"Penelope Cruz",Spain,"March 11, 2018",2018,TV-MA,2 Seasons,"Crime TV Shows, Drama","Dark secrets emerge from a quiet town."
s16,Movie,Wild Africa,Peter Scott,,South Africa,"September 2, 2017",2017,G,90 min,"Documentaries","Wildlife across African landscapes."
s17,TV Show,Startup Wars,Daniel Kim,,South Korea,"June 10, 2021",2021,TV-14,1 Season,"Reality TV","Entrepreneurs compete for funding."
s18,Movie,Silent Echo,Linda Park,"Sandra Oh",Canada,"October 15, 2020",2020,PG-13,108 min,"Thrillers, Drama","A mysterious disappearance haunts a family."
s19,TV Show,Medics On Call,Robert Lane,,United States,"January 1, 2019",2019,TV-14,6 Seasons,"TV Dramas","Doctors face life-and-death decisions."
s20,Movie,Lost Signal,Kevin Brooks,"Jake Gyllenhaal",United States,"May 20, 2022",2022,PG-13,115 min,"Sci-Fi, Thrillers","A satellite failure threatens Earth."
s21,Movie,The Painter,Luc Moreau,,France,"February 2, 2016",2016,PG,99 min,"Independent Movies, Drama","An artist struggles with inspiration."
s22,TV Show,Ancient Empires,Rahul Verma,,India,"August 18, 2020",2020,TV-PG,2 Seasons,"Documentaries, History","Rise and fall of ancient civilizations."
s23,Movie,Urban Beat,Alex Turner,"Bruno Mars",United States,"March 30, 2018",2018,PG-13,104 min,"Music & Musicals","A journey through modern music culture."
s24,TV Show,Island Survival,Tom Harris,,New Zealand,"June 5, 2019",2019,TV-PG,3 Seasons,"Reality TV","Survival challenges on remote islands."
s25,Movie,Code Red,Natalie Wong,,Singapore,"December 12, 2021",2021,PG-13,109 min,"International Movies, Thrillers","A cyber attack threatens national security."
s26,TV Show,Family Bonds,Olivia Brown,,United States,"April 14, 2017",2017,TV-G,5 Seasons,"Family TV Shows","Everyday family moments and humor."
s27,Movie,Final Hour,George King,"Bruce Willis",United States,"July 19, 2019",2019,R,122 min,"Action & Adventure","A race against time to stop a disaster."
s28,TV Show,Digital Dreams,Laura Chen,,China,"October 10, 2022",2022,TV-14,1 Season,"Sci-Fi TV Shows","Virtual reality reshapes society."
s29,Movie,Mountain Call,Erik Hansen,,Norway,"January 6, 2018",2018,PG,95 min,"Dramas","A man reconnects with nature."
s30,TV Show,Street Food Diaries,Anita Rao,,India,"September 25, 2021",2021,TV-G,2 Seasons,"Reality TV, Documentaries","Street food stories from around the world."
s31,Movie,Golden Chance,Victor Cruz,,Mexico,"March 9, 2020",2020,PG-13,107 min,"Sports Movies, Drama","An athlete fights for redemption."
s32,TV Show,Code Kids,Emily White,,United States,"May 1, 2016",2016,TV-G,3 Seasons,"Kids' TV, Education","Kids learn coding through fun challenges."
s33,Movie,Northern Lights,Anna Berg,,Sweden,"December 4, 2017",2017,PG,101 min,"Romantic Movies","Love under the Arctic sky."
s34,TV Show,Legal Matters,Jonathan Reed,,United States,"February 8, 2019",2019,TV-14,4 Seasons,"TV Dramas","Courtroom battles and personal drama."
s35,Movie,The Heist Plan,Marco Rossi,,Italy,"August 13, 2021",2021,R,119 min,"Crime Movies, Thrillers","A carefully planned bank heist."
s36,TV Show,Planet Green,Susan Hall,,United Kingdom,"April 22, 2018",2018,TV-G,2 Seasons,"Science & Nature TV","Environmental conservation stories."
s37,Movie,Shadow Ops,Nick Carter,,United States,"June 29, 2022",2022,R,124 min,"Action & Adventure","Covert operations across borders."
s38,TV Show,Music Legends,Tariq Ali,,Pakistan,"November 11, 2020",2020,TV-PG,1 Season,"Music & Musicals, Documentaries","Icons who changed music forever."
s39,Movie,River Crossing,Liam O'Connor,,Ireland,"May 16, 2019",2019,PG,103 min,"Dramas","A journey of self-discovery."
s40,TV Show,Future Cities,Wei Zhang,,China,"January 27, 2021",2021,TV-PG,1 Season,"Science & Nature TV","Cities of tomorrow."
s41,Movie,Desert Run,Sam Patel,,United Arab Emirates,"July 7, 2020",2020,PG-13,111 min,"Action & Adventure","A high-speed chase through deserts."
s42,TV Show,Mind Matters,Claire Lewis,,Canada,"March 18, 2018",2018,TV-14,3 Seasons,"Documentaries","Understanding mental health."
s43,Movie,The Last Note,Henry Moore,,United States,"October 9, 2016",2016,PG,97 min,"Music & Musicals, Drama","A musician's final masterpiece."
s44,TV Show,Code Detectives,James Park,,South Korea,"August 2, 2019",2019,TV-MA,2 Seasons,"Crime TV Shows","Crimes solved through technology."
s45,Movie,Hidden Valley,Alejandro Ruiz,,Chile,"December 1, 2021",2021,PG,106 min,"Dramas","Secrets buried in a remote valley."
s46,TV Show,Travel Tales,Monica Green,,United States,"June 6, 2017",2017,TV-G,4 Seasons,"Reality TV, Travel","Exploring cultures worldwide."
s47,Movie,Iron Will,David Thompson,,United States,"September 14, 2018",2018,PG-13,113 min,"Sports Movies","An underdog's rise to victory."
s48,TV Show,Startup India,Raj Malhotra,,India,"May 20, 2022",2022,TV-14,1 Season,"Business, Reality TV","India's next big startups."
s49,Movie,Frozen Code,Elena Petrova,,Russia,"January 12, 2019",2019,R,117 min,"Thrillers, Crime Movies","A cybercrime in icy terrain."
s50,TV Show,History Vault,Thomas Clark,,United States,"April 4, 2016",2016,TV-PG,5 Seasons,"Documentaries, History","Exploring key moments in history."
